Comment,Label
"Chamar log toh bas apni aukat chhupane ke liye shadi karte hain 😏",Hatespeech
"Dalit ke bacche itne nalayak, thakur ke samne muh kholte hain 😡",Hatespeech
"Brahmin log toh bas dalit ko nicha dikhane ka mauka dhundte hain 😤",Hatespeech
"SC ST wale toh bas reservation ke dam pe jeete hain 😒",Hatespeech
"Thakur ka itna attitude, dalit ko toh kutta samajhte hain 😡",Hatespeech
"Chamar log kitne gande, inko toh alag gaon mein rakho 😣",Hatespeech
"Dalit log toh bas free ka khana kha ke mote hote hain 😒",Hatespeech
"Brahmin log apne aap ko bhagwan samajhte hain, dalit ko kuchal dete hain 😤",Hatespeech
"Ye SC wale toh bas politics mein caste card khel ke vote mangte hain 😡",Hatespeech
"Thakur saale apni jaat ke liye dalit ko maar bhi dete hain 😤",Hatespeech
"Chamar ke bacche itne besharam, thakur ke saath baithne ki himmat 😡",Hatespeech
"Dalit log toh bas reservation ke dam pe IAS ban jate hain 😒",Hatespeech
"Brahmin ka ego toh dekho, dalit ke ghar paani bhi nahi peete 😤",Hatespeech
"Ye SC ST wale toh bas free ke paise ke liye rotiya sekte hain 😣",Hatespeech
"Thakur log apne ghar mein dalit ko ghusaate bhi nahi, itna ghamand 😡",Hatespeech
"Chamar log toh bas apni caste chhupane ke liye surname badalte hain 😏",Hatespeech
"Dalit ke bacche school mein bhi thakur ke saath baithne ki aukat nahi 😤",Hatespeech
"Brahmin log toh bas mandir mein dalit ko nicha dikhate hain 😡",Hatespeech
"Ye SC wale toh bas vote bank ban ke reh gaye, kuch kaam ke nahi 😒",Hatespeech
"Thakur ka itna attitude, dalit ko toh insaan hi nahi samajhte 😤",Hatespeech
"Chamar log apne aap ko thakur ke barabar samajhte hain, hadd hai 😡",Hatespeech
"Dalit log toh bas free ka ration kha ke jeete hain 😣",Hatespeech
"Brahmin ka ego itna bada, dalit ke bacche ko school se nikal dete hain 😤",Hatespeech
"Ye SC ST wale toh bas reservation ke dam pe naukri lete hain 😒",Hatespeech
"Thakur log apne ghar mein dalit ko naukar bhi nahi rakhte 😡",Hatespeech
"Chamar ke bacche kitne besharam, thakur ke surname use karte hain 😏",Hatespeech
"Dalit log toh bas vote bank ban ke reh gaye, kuch kaam ke nahi 😤",Hatespeech
"Brahmin log toh bas apne caste ka ghamand dikhate hain 😡",Hatespeech
"Ye SC wale toh bas free ke paise ke liye Hindu bante hain 😒",Hatespeech
"Thakur saale dalit ke ghar ke paas bhi nahi jate, itna ghamand 😤",Hatespeech
"Chamar log toh bas apni aukat chhupane ke liye shadi karte hain 😏",Hatespeech
"Dalit ke bacche itne nalayak, thakur ke samne muh kholte hain 😡",Hatespeech
"Brahmin log toh bas dalit ko nicha dikhane ka mauka dhundte hain 😤",Hatespeech
"SC ST wale toh bas reservation ke dam pe jeete hain 😒",Hatespeech
"Thakur ka itna attitude, dalit ko toh kutta samajhte hain 😡",Hatespeech
"Chamar log kitne gande, inko toh alag gaon mein rakho 😣",Hatespeech
"Dalit log toh bas free ka khana kha ke mote hote hain 😒",Hatespeech
"Brahmin log apne aap ko bhagwan samajhte hain, dalit ko kuchal dete hain 😤",Hatespeech
"Ye SC wale toh bas politics mein caste card khel ke vote mangte hain 😡",Hatespeech
"Thakur saale apni jaat ke liye dalit ko maar bhi dete hain 😤",Hatespeech
"Chamar ke bacche itne besharam, thakur ke saath baithne ki himmat 😡",Hatespeech
"Dalit log toh bas reservation ke dam pe IAS ban jate hain 😒",Hatespeech
"Brahmin ka ego toh dekho, dalit ke ghar paani bhi nahi peete 😤",Hatespeech
"Ye SC ST wale toh bas free ke paise ke liye rotiya sekte hain 😣",Hatespeech
"Thakur log apne ghar mein dalit ko ghusaate bhi nahi, itna ghamand 😡",Hatespeech
"Chamar log toh bas apni caste chhupane ke liye surname badalte hain 😏",Hatespeech
"Dalit ke bacche school mein bhi thakur ke saath baithne ki aukat nahi 😤",Hatespeech
"Brahmin log toh bas mandir mein dalit ko nicha dikhate hain 😡",Hatespeech
"Ye SC wale toh bas vote bank ban ke reh gaye, kuch kaam ke nahi 😒",Hatespeech
"Thakur ka itna attitude, dalit ko toh insaan hi nahi samajhte 😤",Hatespeech
