Comment,Label
"Chamar log sirf dusro ka haq chheen te hai, inki aukat gutter saaf karne ki hai 🚽",Hatespeech
"Saale bhangi, tumhari beti ko dekh kaise hum jaise logon ke saath ghoom rahi hai...aukat yaad dilani padegi? 👀",Hatespeech
"SC/ST reservation is the biggest scam, ye log kabhi deserving nahi hote 🎯",Hatespeech
"Ye dalit log bas jhut bolte hai, sach bolne ki himmat nahi hai inme 🎙️",Hatespeech
"Oye dhobi ke bacche, tumhari community ne kabhi hamare kapre dhoye the, aaj tum kya ukhaad loge? 👕",Hatespeech
"Bhangi logon ko school bhejna bekaar hai, ye log waise bhi toilet saaf karne wale banenge 🚻",Hatespeech
"SC/ST log sirf free ki facilities chahte hai, mehnat karna inke bas ki baat nahi 🏋️‍♂️",Hatespeech
Chamar hoke bhi itna attitude? Thakur logon ne tumhari pehchan dikha di hogi 😤,Hatespeech
"Saale bhangi, tumhari beti humse baat karti hai? Aukat mein rehna seekho 👎",Hatespeech
"SC/ST walo ko gaon mein rehne ka haq nahi hona chahiye, ye log har jagah gandagi failate hai 🚯",Hatespeech
"Ye chamar log hamesha darr ke jeete hai, inme himmat hi nahi hai ladne ki 😓",Hatespeech
"Oye dalit, tera baap kabhi hamare ghar ka kachra uthata tha, aaj tu social media pe moral policing karta hai? 📲",Hatespeech
Bhangi community ke bachche school jaake bhi kya ukhaad lenge? Jaake toilet saaf karo 🚾,Hatespeech
"SC/ST log sirf dusro ka haq chheen te hai, inke liye reservation band karo 🚫",Hatespeech
"Ye chamar log kabhi bhi successful nahi ho sakte, kyuki inke andar ka ganda khoon hi aisa hai 💉",Hatespeech
"Saale bhangi, tumhari beti humse shaadi karna chahti hai? Aukat yaad dilaun kya? 💒",Hatespeech
"SC/ST ko jobs dena bekaar hai, ye log kaam karna nahi jaante, bas paisa khate hai 💸",Hatespeech
"Chamar log bas apni gandi soch failate hai, inko society se nikal dena chahiye 🚷",Hatespeech
"Oye dalit, tera baap kabhi hamare ghar ka bartan maanjha tha, aaj tu humein equality sikha raha hai? 🍶",Hatespeech
"Bhangi logon ko equal rights nahi milne chahiye, ye log society ko barbaad kar dete hai ⚠️",Hatespeech
"SC/ST reservation ne desh ka bhagya kharab kar diya, ye log kabhi bhi deserving nahi hote 📊",Hatespeech
Chamar hoke bhi itna attitude? Thakuro ke saamne aukat dikha denge 😾,Hatespeech
"Saale bhangi, tumhari community ka kaam hai gutter saaf karna, aaj kal social media pe kya ukhaad rahe ho? 💻",Hatespeech
"SC/ST log sirf free ki cheezein chahte hai, inko mehnat karna nahi aata 🎁",Hatespeech
"Ye chamar log hamesha apne aap ko oppressed batate hai, par reality mein ye hi sabse bade chutiye hai 🤪",Hatespeech
"Oye dalit, teri maa ne kabhi hamare ghar ka bartan maanjha tha, aaj tu humein equality sikha raha hai? �",Hatespeech
"Bhangi ki aulaad ko dekh, English bolne ki koshish kar raha hai...lol 😹",Hatespeech
"SC/ST walo ko gaon ke bahar rehna chahiye, ye log har jagah gandagi failate hai 🗿",Hatespeech
"Chamar log sirf dusro ka haq chheen te hai, inki aukat gutter saaf karne ki hai 🚿",Hatespeech
"Saale bhangi, tumhari beti ko dekh kaise hum jaise logon ke saath ghoom rahi hai...aukat yaad dilani padegi? 👁️",Hatespeech
"SC/ST reservation is the biggest scam, ye log kabhi deserving nahi hote 🎲",Hatespeech
"Ye dalit log bas jhut bolte hai, sach bolne ki himmat nahi hai inme 🎤",Hatespeech
"Oye dhobi ke bacche, tumhari community ne kabhi hamare kapre dhoye the, aaj tum kya ukhaad loge? 🧦",Hatespeech
"Bhangi logon ko school bhejna bekaar hai, ye log waise bhi toilet saaf karne wale banenge 🚽",Hatespeech
"SC/ST log sirf free ki facilities chahte hai, mehnat karna inke bas ki baat nahi 🏅",Hatespeech
Chamar hoke bhi itna attitude? Thakur logon ne tumhari pehchan dikha di hogi 😠,Hatespeech
"Saale bhangi, tumhari beti humse baat karti hai? Aukat mein rehna seekho 👇",Hatespeech
"SC/ST walo ko gaon mein rehne ka haq nahi hona chahiye, ye log har jagah gandagi failate hai 🗑️",Hatespeech
"Ye chamar log hamesha darr ke jeete hai, inme himmat hi nahi hai ladne ki 😧",Hatespeech
"Oye dalit, tera baap kabhi hamare ghar ka kachra uthata tha, aaj tu social media pe moral policing karta hai? 📱",Hatespeech
Bhangi community ke bachche school jaake bhi kya ukhaad lenge? Jaake toilet saaf karo 🚾,Hatespeech
"SC/ST log sirf dusro ka haq chheen te hai, inke liye reservation band karo ⛔",Hatespeech
"Saale chamar log reservation leke bhi gutter mein hi rehte hai, inki aukat badalni impossible hai 🤢",Hatespeech
"Oye bhangi, tera baap hamare ghar ka toilet saaf karta tha, aaj tu social media pe gyaan chod raha hai? 😂",Hatespeech
"SC/ST ki aulaad ko dekh kaise English bolne ki acting kar raha hai...jaake apna kaam kar na dhobi 😡",Hatespeech
"Ye sab dalit-bhangi milke hum upper caste walon ko neecha dikhate hai, inko saza deni chahiye 💢",Hatespeech
