Comment,Annotation
We were also convicted in false sc st act.,Not Hatespeech
Kuch log iss act ka galat fayda utha rahe hai agar defaming case ko strong banaya Jaye toh aise false case karne k liye 10 bar sochenge kebal sc st gareeb nehi hote kuch anya caste k log bhi gareeb hote hai kisi ek caste ko itna supreme power dena yeh galat hai nyaya both side honi chahiye aur evidence ko priority dena chahiye,Not Hatespeech
Aise hi Nahin Lagta SC ST act Jab Tum jaati Sojat Atyachar Karoge tab lagta hai SC ST act,Not Hatespeech
Sc st act should be removed from the constitution!,Not Hatespeech
सुसाइड 😂घनचक्कर sala जिसने लगाया use बर्बाद कर दे 😡उसके बाद मरना,Hatespeech
En n kha di va sach sa to court ku khol rkha h band kr do fr un m,Hatespeech
This act is good kyuki koi jatibad log kisi ko dabane ki koshish nahi kr payega Jo iss act to galat bolta hai wo chahte hai ki sc st k sath sosan hota rahe jabtak koi kuch krta nhi tab Tak koi sc st kuch bolta nahi hai ye act sahi hai,Not Hatespeech
Sc/st act is apartheid. Complete discrimination againt general caste.,Hatespeech
भाई तुम्हारे ऊपर एससी एक्ट इसलिए लगाया है क्योंकि तुमने पैसे नहीं दिए हो गए। अगर पैसे से तो ऐसे ही काम निपटा जाता। protection money deni hoti hai general obc walo ko,Not Hatespeech
Bhai pura to video dalna tha ye uncle ne ky kiye the pehele vo bhi pata kro bs sc st act ko blem krne se koi faida nai.... Pehele sc st walo k sathi ye uncle ne ky kiya vo bhi to dikho...,Not Hatespeech
"कांड किये थे वह तो बताओ, चैरिटी काम किये थे क्या",Not Hatespeech
Sc st atrocity act permanent reservation ke karan meinay sc st ki  ladki se shaddi nahi kiya hu...jab ki mujhey wo bhohat pasand thi...,Not Hatespeech
Jay bhim jai bharat,Not Hatespeech
Ye baat toh pehle sochte toh sc st act maa lagta brahman gaaye😂😂😂,Hatespeech
"Ye log jati suchak word bolke gali dete honge
Issiliye case khaya h",Not Hatespeech
"Om 🙏🏻🕉
Obc pe lagaate ho farzi नवबौद्ध",Hatespeech
Bhai koi ilaj batao is act ka please help me,Not Hatespeech
"kisi muslim ,sikh ko sc/st se pareshani nahi
Karo in manushmitri ke PHD balo ko parishani hai 
Wah bhai👋👏",Hatespeech
Sc/st act obc pe hi lagta h,Not Hatespeech
Main sc hoon chalo bramhan salo😠 teri bahen se sadi karba de kisi sc/st ka,Hatespeech
Brahman nh wo poori video dekhlo,Not Hatespeech
भाइयों iska ek solution batana chahunga. Jab bhi aap pe sc ya st ka case lage aur apko lage ki apka law aur sambhidhaan bhi apka raksha nahi kar paa raha hai to kripya karke hathiyaar utha le. Sabse pahle fake act ko lagane waale aur uske khandaan ko goli maare. Jail to waise bhi jana hai. Bhimto ki gaand me goli maare. Aise karenge to aane waale future me ye randi ke bacche khud hi darenge fake case karne se,Hatespeech
Sucide हल नहीं है अगर जिंदगी ख़राब हो गयी है तो उसे ख़राब करके ही घर बार छोड़ना चाहिए बात समझ me आयी 😂,Not Hatespeech
सही बात है!,Not Hatespeech
काम ही ऐसा क्यों करते हो,Not Hatespeech
Tum farzi पंजाबी हो,Not Hatespeech
Ye bharat hai aur sawidhan bhi hai agar ye Sacha hai to darne ki jaroorat nhi agar galat hai to bachena nhi chahie. Uske sath koi galat karega to saza usko bhi milni chahiye. Garibo par atyachar hazaro versho se hote aaye hai tabhi to ACT bana verna kya jaroorat thi iski.,Not Hatespeech
Atyachar to muglo ne bhi bhut kiye angrejo ne bhi ki iska matlab ye nahi h ki Bhai abhi bhi hmlog usi bat me atke rhe,Not Hatespeech
SC ST ACT kyon banaya iski jaroorat kyon  padi?,Not Hatespeech
"मैं जनता हूँ इन लोगो को यही लोग मजबूर अपनी आदत से इनको लोगो को अरे चुडे, अरे चमार अरे बड़ी के, अरे गिट्टल आदि शब्दो से निचली जाति को सम्बोधन करने की आदत हैं वो आदत छूटी नहीं मुँह से निकल जाता हैं अभी पैन होगा  अब ये शब्द नहीं चलते ऐसा कोनसा कानून हैं जो जिसका मिसयूज नहीं हुआ govt खुद करती हैं, चाहे कोई स भी ews को देख लोग धनी लोग पैसा देकर सर्टिफिकेट बनवा रहे हैं ये सब हो रहा पर आपत्ति सिर्फ दहेज़ और sc st एक्ट से ये कहते हैं की  sc st काबिलियत नहीं तो क्या 150 me se 80 लाने वाला सर्वण काबिलियत हैं सबसे ज्यादा यही दुरपयोग करते हैं। मीडिया पर पर आ कर विक्टिम कार्ड खेलते हैं की sc st एक्ट लगा दिया आजकल मुस्लिम ईसाई पर गिनोनी गालिया दी जाति अगर ऐसा की कानून बन जाये की किसी धर्म को अपमानित करने पर कठोर सजा लगे सरकार के पिट्टो की गान मे सबसे ज्यादा दर्द होगा ये किसी को कटवा किसी को सुवर कहते हैं",Hatespeech
Bro teaching castism by generations,Not Hatespeech
after such acts these sc st want upper caste to treat them as equal. ab bolo ki sc st ke saath injustice hota hai,Not Hatespeech
Aise equal nhi huya jata h apne mahan vichar se upar utha jata h,Not Hatespeech
SC st act ko hatana chahiye 😢😢,Not Hatespeech
"Caste system ko hi hata do
All problems will be solved",Not Hatespeech
"Don't forget Reservation!,​",Not Hatespeech
"cast system abolish kar do toh reservation ka achar dalenge , cast system ke wajah se reservation aaya hai .",Not Hatespeech
"Funny how Savarnas crying about how they can't opress their dalit ""friends""",Hatespeech
I'm not celebrating a pain of an uppercaste . I'm relieved that a criminal casteist person is being held accountable for his crimes.,Not Hatespeech
Sc/st walo ki chori ki choot public ki,Hatespeech
"95% sc, st case ko to vase hi system dba deta ha.. Baki 5% hi court tak pahunchte ha jo extreme level ka ho  ji.....",Not Hatespeech
Merko meri gf ke bhaiyo ne mara vo obc he mein sc hu merko usinliye nara gys kyu ki nein choti caste se belong kerta hu uske ghar wale te bote g humari caste ka hota to shaadi jerwa dete to kya mein apni gf ke bgaiyo pe sc st act lagwa sakta hu kyu ki hum dono ko jaati bged bgav ke jaran bhout dikjat hui he hum dono ko alag jer diya gya jab ki hum ek dusre se bhout oyaar kerte ge saath rehna chate ge shaafi kerna chate he but ye jaat paat. Logo ke dumaag se nahi niklti mere dono parents gov teacher he or uske papa ki job bhi permanent nahi he risk hi risk ge life nein fir bhi ghamand ge to sirf jaati k sc st act jaruri ge but kisi ko galat case nein nahi fasana cahiye,Not Hatespeech
Bas nam ka hi sc st act h koi karwai nahi hoti garamin elako me sc st cast se bedhbav julam  bohat hota h janwar se bi nich samjate h india desh h jaha janwar ko bagwan or insan ko janwar samjate h gandhi sankariti brahmano ke varan vevstha rudiwaad ne desh barbadh kar diya  insaniyat ka dushman hindhu dharam h 😢😢😢,Hatespeech
"besharam sc st hote hain vo bhenchod, madarchos, green mango more",Hatespeech
"MERE UPAR BHI JHOOTHA CASE KIYA, EK BAR USE GAND PE MATA THA BAS.",Hatespeech
Dalitwaaad se azaadi chahiye,Not Hatespeech
"sarkar v tumhara
media v tumhara
police v tumhari
jhuti case v tum kro
casteism v tum failao
dalit pe peshav v tum kro
sc st ko gali v tum do
samantvad ka jad v tum
thodi si galti pe goli v tum chlao
thuk v tum chtwao
peshav v tum pilwao
thodi si jameen ke badle bandhua majduri v tum karwao
aur yhan gaali de rhe ho sc st act ko

hrek community me kuch lucche lafange log hain, aur bs ush ek k liye tum sare ko galat nhi bol skte
 Google kro ya newspapers clippings dekho agr 10 case casteism wla milega toh usme more than 90 percent hamare so called upper caste ne outer caste ko zalil kiya hoga, maar diya hoga ya unka samajik bahiskar kiya hoga.... living example UP ki hai jisme upper caste ke logo ne dalit ka rape kiya aur upr se unhe hi society' se bahar jane ko bol rhe , unka jina dusvar kiye hai",Not Hatespeech
Ye act band karo,Not Hatespeech
Taki tum galio pr gali aur atyachar khuleaam kar sako.,Hatespeech
SC ST ACT band karo,Not Hatespeech
Same with main bro is sal selection  nahi huaa to reservation ke nam par chitthi likhakar marunga,Not Hatespeech
"ये देश किसी के बाप का नहीं मूल निवासियों  का हे,,। विदेशी यहां से चुप चाप चले जाए या अपना कुछ और बंदोबस्त कर ले",Hatespeech
"videshi tumhara baap aur maa hoga...chinese maal.
Hamari toh maa baap desh...sb indian  hain..jai hind.",Not Hatespeech
Are Bhai ye Desh hi hamara hain tum niklo😂😂,Hatespeech
tere jaiso ke liye hi pakisatan bnaya gya hai...,Hatespeech
"हां पाकिस्तान भी तुम्हारे बाप दादाओं ने बनाया विदेशियों ने ,,,,, हम मूलनिवासी शामिल नहीं थे उसमे ,,।।।। तुम विदेशी जहां से आए हो वहां चले जाओ चुप चाप।",Hatespeech
"​​
😂😂 madam ji wo khud dalit h theory uski hi h . 
Padho niche kya likha h farzi eurasian theory aur isme hum obc ko baap na banaye",Not Hatespeech
Niklo dehs se chale jao Pakistan,Hatespeech
​ yaha ke mool niwasi h iska kya proof h,Not Hatespeech
Galti nahi karoge to sc st kyo lagta,Not Hatespeech
to karo kiski raah dekhte ho.,Not Hatespeech
Jutha case laga dete hai sb,Not Hatespeech
Itni himmat nhi unme ki jhutha case lagaye..bahut majbur hokar hi kadam uthate hai...,Not Hatespeech
"​

jhoote cases bhi h",Not Hatespeech
​ aisa kanoon ki jarurat hi kyo padi phle jach to ho jane do ki case jhutha h ya sach uske baad nirnay lena chahiye,Not Hatespeech
Kar na 😂,Not Hatespeech
पहले crime करें फिर विक्टिम कार्ड खेलो कुछ गलत तो किया होगा,Not Hatespeech
Victim Card khel ke tumlog reservation le rahe ho 70 saale se😂😂,Not Hatespeech
भाई तुझे झाट ज्ञान हो जाति का कीड़ा दिमाग़ से निकाल कर देख राजपुत नहीं इंसान बन कर देखो।।। किसी दलित के घर पैदा होते तो असली सिचुएशन का ज्ञान होता  ज्ञान देना आसान हैं मे आपके वर्ग का होता मैं भी वही करता जो तुम कह रहे पर दलित रोज झेलते हैं,Not Hatespeech
Par Aaj Dalit Apne Haq ka Galat Fayda Utha Raha hai ...Reservation Hatao ..General Waalo ki Seat Chori karte ho 35 percent laake ...Isiliye desh aage nahi badh raha,Hatespeech
Suicide karne badiya aarop lagane walo ko mar do,Hatespeech
Ghtoya Kala Kayda,Not Hatespeech
"Suicide keu karenge yeh jindegi bohot hi amulya hai, ap hat may takti lo amaran ansan karo sangsad key samne.",Not Hatespeech
Terrorist sey battar Act hai scst atrocities Act. I urge to government please modified it.,Hatespeech
"uss logic se toh kl ko khne lgna India Pakistan ko pareshan krta hai SATATA hai tbhi Pakistan terrorists ko India bhejta hai , action leta hai
85% cases under sc/St act are fake .wake up to reality",Not Hatespeech
usne kya harkat ki hogi ye bhi puch lete,Not Hatespeech
Dhaba chap Ambedkar ka samvidhan,Hatespeech
I'm not chamcha any particular community...but pahle insan bano...sbko  respect ka hak hai,Not Hatespeech
"Chi bhai kasa hamra desh ka log ha , no equality is society 😢",Not Hatespeech
Sc st act humari taqat,Not Hatespeech
"Suicide mat karo aur naa hi act abolish karne ke liye protest karo... Mudda pratadit kiye jaane ka hai... Jhoothi gawahi ko harane ka hai... 
Sach aur jhooth pakadne ka aasaan raasta bhi hai... NARCO TEST wo bhi live (dono paksh ki oor se unhi ke dwara uplabdh karaye gaye log is test ki live video recording karein) record banaya jaye jise saboot ke taur par court mein prastut kiya jaye... 
Isse ye faiyada hoga ki jo bhi jhooth bolega uspar gaaj giregi... Ab to naya rule bhi hai ki jisne jhootha case lagaya use wahi saza milegi jo aaropi ko milne wali thi... Aur yadi aaropi ne galat kiya hai to saza to banti hai...",Not Hatespeech
SC st act me janch ka prabdhan he,Not Hatespeech
SC ST act hatni chahiye iss desh se,Not Hatespeech
"Then why beaat inniceny scst and why socially boycott and why u all always do collective discrimination even always try to throw them in false case, just think who start beating scst , if u cant behave as human with them then go to jail",Not Hatespeech
Is farzi sc st act  harqat ko dalitvad kahenge,Hatespeech
Krlo bhai krlo,Not Hatespeech
Gernal walo ka sbse jiada nuksan kiya,Not Hatespeech
Kyuki shoshn aur atyachar bhi unhi ne kiya sbse jyada.,Not Hatespeech
Tum logo me enth bhi bahot hoti hai ab nikal gayi sari garmi 😂,Not Hatespeech
"It's truth, one Dalit Women Guddi devi in Uttar Pradesh murdered his husband and then accused one Brahman family for that, she got compensation for that, that Brahamn guy jailed because there is no provision of hearing in scst act
After some time, she murdered another person of her family and again she accused other Brahman members of the same family
Total 6 innocent Brahamn's were jailed for many years, after pressure they had to organise hearing and then they found guilty
Scst act is even more worse then casteism",Not Hatespeech
Proof for your story. Details bathao. Kuch kahani math likao,Not Hatespeech
"​://youtu.be/14Evz8Ia00I
Thus is the story.",Not Hatespeech
और जो सदियों से दलितों की ma बहनों पर अत्याचार हो रहा था उसका क्या,Hatespeech
​ bhimte jaake news padh le na,Not Hatespeech
"Ka tu gand mra , HMA kya😢",Hatespeech
diya toh hai comment mein,Not Hatespeech
Gand mara feer .boda Aya Brahim khud ko bol ne Wale,Hatespeech
Nothing is worse than casteism. In SC ST act a few upper caste may face discrimination. But in casteism whole lower castes faced discrimination.,Not Hatespeech
"But that doesn't stops you from Achieveing something in Professional Life while we generals face Discrimination even In Professional life Be it college admission, be it Jobs ! ​",Not Hatespeech
​ kahni lag rha jis lagata usi pr kya bitata hogae usko socho jara,Not Hatespeech
Don't spread there is provision for hearing of cases.,Not Hatespeech
Bhai mere gaw me  bhi jhoota sc st lagaya tha but jisne lagaya aab mil nhi rha h 😂😂😂,Not Hatespeech
Mar jana par astrocity act nahi laga lena gand me danda dal dete hai police wale,Hatespeech
Jalwa h hamara maa chod denge SC St act kar denge,Hatespeech
"SC act ka bohot jyada he galat istemal ho raha hain, Sarkar ko ish k bare me dekhma chahiye.",Not Hatespeech
"Mere Ghar walo ne samjha ke bejha hai ki sc walo se dosti mat karna .
Kyunki dosto mein gali galoch aur kabhi todi baat aage badh jaati hai , aur ye log kabhi bhi tumhari jindagi barbaad kar sakte hain .
Sabhi log inse bach ke raho",Hatespeech
"Tumhare aur tumhare dimag me chuachut ka kida hai bs...jabki chua hua daily khate ho...
Insan bano...koi dosti me nhi act lgta .
Agr padhe likhe na ho toh jan lo ki act. Soshan aur atyachar karne wale pr lagta hai.
Waise tum jaise dost kya insan hi ban jao bahut hai.",Not Hatespeech
Sc st ke haq  bi badi jaati balon ne khae itiassh padho salo dogale log teri maa ne yah nahin bataya,Hatespeech
Kya hua kese hua..??,Not Hatespeech
Ye jalwa h hamara manuvadi sc st act  ki baat hai koi nhi hta sakta chahe tumhara 33 crore devi devta bhi nhi hum h ambedkarvadi 33 crore pe bhari,Not Hatespeech
Caste hi khatam honi chahie india se only bharat honi chahie caste,Not Hatespeech
Pura khandan SC ST ko gali bakta hoga. Aise hi hoga na. Humare upar toh kisi ne nahi lagaya,Hatespeech
It's okay to be dalit but those who are misusing the law you are shame for us,Not Hatespeech
"Bhai real case mein sc st act lagne ke liye saalo lag jaate hai 
Saale police puri jaan laga deti hai logo ko bachane mein
Aur Aap jhoot ki baat karte ho",Not Hatespeech
"Jub Tak koi iske khilaaf khade n ho, tub Tak yahi hoga",Not Hatespeech
"Agar yeh massom hai matlab inhone jatisuchak shabdo ka, babasahab ka aur constitution ka apman sach mein nhi kiya hai toh inko nyay milna chaiye jo hamhre sath hot hai inke sath atyachar nhi hona chahiye jaybhim",Not Hatespeech
"Bhai real case mein sc st act lagne ke liye saalo lag jaate hai 
Saale police puri jaan laga deti hai logo ko bachane mein
Aur Aap jhoot ki baat karte ho",Not Hatespeech
Sucide karne se phele sabko khatam kar de .Mar tho wese bhi rha hai .Ghar wale bach jayege 😂,Hatespeech
Aukad me baat kar,Hatespeech
Bas yhi suchai hai aur fhir kahto ho hm bekasur hain..,Not Hatespeech
"Hme n to ram mandir chaye na hi hi POK chaye...hme bs ye act khtam hona chaye...
SC st act hatao...🙏🏻🙏🏻

Ye hi khtam krta h Bhaichara",Not Hatespeech
"Is jayga ap hote toh kya karte, hum general mey paida hua kya yeh meri galti hai. Upar vala jisko jaha par rakha hai wo wohi paida hote hai. Kuch toh humanity rakhe. Ultimately hum sab insaan hai.",Not Hatespeech
Haryana ka  ek mamala yad hai suhroo ne lahass ko le jane ke liye raste Tak band krr diyeee samsan mai lahass ko jlane bhi nahi diya,Not Hatespeech
Reporter ki puri family bhi khatam hogi abb 🤣,Hatespeech
सालो उनसे उलझते क्यू हो....,Hatespeech
अभी कर लो सुसाइट तब पता चलेगा बेचरा दलित कैसे परेशान है l देश की 1/4 पापुलेश से जायदा दलित हैं देश में लेकिन सबसे जायदा दबाया जाता है,Not Hatespeech
bhi habias corpas laga sakte band karne ki baat karne wale 10 vi fail h,Not Hatespeech
Gaon me narak hai sc st logo ki zindagi...,Not Hatespeech
Bhai edhar seher me general logo ki zindagi narak banadi hai sc st walo ne.. mere yahan 12th standard sc st students walo ne outsiders ko college library me ghusne hi nahi dete..,Hatespeech
mazak aacha hai....kyo sc st walo ne kya zaadu mantar maat diya....,Hatespeech
7 km² ka pura campus hai... agar koi bahar ka ladka galati se bhi 7 baje ke baad campus me ghusta hai toh ye bhosdiwale gang bana kar pitai karte hain aur police k saamne bhi jhuthi gawahi dete hain... Tere saath kabhi nahi hua na toh tujhe sab majak hi lagega.. Par sachai toh ye hai ki Sc/St walo ko jo power mili hai wo uske liye 1% layak nahi hai,Hatespeech
teri baato se pta chal gya tu bahut bda chutiya hai.....,Hatespeech
"sachai sun kar Kaan jal gayi kya ? Mujhe pata hai ki jaha par education kam hai, wahan enke upar Atyachar hota hai par jahan enko extra power mili hai wo log eska misuse kar rahe hain",Not Hatespeech
"Mai unse 4 saal senior hoon mujhe v library me ghusne nahi diya, campus ke andar ground me running karne nahi dete, oppose karte ho toh gang bana kar ek saath hostel se 100 bache mil kar chale aate hain... Har din kisi na kisi k saath maar pit jhagda karte hain, Par police case me khud chhut jaate hain aur innocent k upar case kar dete hain",Not Hatespeech
jal teri rahi hai.... power ka mis use to tumse sikhe har caste me aache bure insaan hai....murk...jada taklif hai to video bne unki...fir krwa....nahi krwa sakta to g.....mara,Hatespeech
tumhari police hi corrupt hai...,Not Hatespeech
delhi metro me bhi ek coach ladies ke liye hai bus me ladies ke liye hai,Not Hatespeech
Ye kya chutiya giri kar raha hai edhar.. mai usko facts batata hoon aur ye bol raha ki ye mere lawde se sab sikh raha hai.. bc edhar seher me sab general hai.. koi caate waste nahi hai.. par ye 12th standard sc/st walo thoda sa privilege ka mil gaya ye soch rahe hain college unke baap ki hai.. khud roz kisi na kisi k saath ladai karte rehte hain...Mere college ka naaam kharap karke rakh diya hai bhosdiwalo ne,Hatespeech
15 16 saal ke bacho ke dimaag etna bhusa bhara hai sc/st walo ko jab future me 50% reservation se bade bade post enko milega tab ye log sab kuch barbaad kar denge.. bolenge ki pura state enka hai..,Hatespeech
unko apna jija bna le....saale criminal har varg me hai bhosdike wala,Hatespeech
hmmm jase tumne liya hazaro saalo tak.... reservation,Not Hatespeech
mujhe maaf karo bhai.. mene kuch nahi kiya hazaar saal pehle.. mai toh bas govt exam ki tayaari ke liye mere 12th ke college library me padhna chahta hoon aur physical test k liye public ground me running karna chahta hoo .. khud toh library me padhte nahi hain dusro ko bhi library me ghusne nahi de rahe hain.. khud ko free me library mila hai mujhe har mahina 400 rupaya bharna padta hai,Not Hatespeech
Dekho mujhe abhi 10 baje tak library me padhna chahiye tha.. 6.30 pm bajte hi Sc/St aa jaata hai principal ki tarah bacho ko nikal ne k liye.  Sc/St Hostel me unko apna pvt library mila hai.. fir bhi college k library me vi dadagiri karte hain.. Hostel ka naam bhi BR Ambedkar Hostel hain,Not Hatespeech
papa ya jija  bna le unhe sab theek ho jayega,Not Hatespeech
jab tak sarkari naukri nahi milegi koi papa jija nahi banata... wo sc/st/obc/general kuch bhi ho.. chutiye topic mat badal,Hatespeech
chutye tu mat badal zaathu.......laund ke toppe,Hatespeech
mujhe pta hai sachai sunn kar teri jal chuki ha.. randi rona band kar ab.. tum log es reservation k layak hi nahi ho.. agar layak hote toh esi chhoti harkat nahi karte,Hatespeech
baag bhosdike aa gya raamramhim ki padiss saale desh me sabse zyada corruption me tumhare aadmi hai...nirbya kand rapist tumhare bhai the..samze tandoor kand tumhare bhai the...,Hatespeech
manuscript murdabad manuscript murdabad.... brhamanraatra nahi banega...samza dalle,Hatespeech
bhai tere aaadmio ko bol ki jiye aur jeene de.. phir se 6.30 bajte hi library se bhaga diya jese unke baap ki ho.. bc free me mila hai library fir bhi nah padhte aur jo padh raha hai paisa deke uski gaand maar rahe hain,Hatespeech
Fir topic change kar raha lawduchand,Hatespeech
fir topic change kar raha hai........ bhosdike wale.... hindu rashtra brahmanrastra nahi banega.... Asaram raamramhim tere jija hai... ramdev bhi,Hatespeech
Marwa unse gand aachi tarah....tere jase dalle ke sath yahi hona chahiye....,Hatespeech
abe chutiye mai yahan education ki baat kar raha hoon kesa insaan hai tu teri soch etni chhoti hai.. es liye sab tumse etna nafrat karte hain,Hatespeech
Bhai tu meri baat nahi sunn raha bas tere mann me jo zeher hai wahi ugal raha hai.. aage se comment mat kario,Not Hatespeech
muft me khaane wale logo ko bhikari kehte hain,Not Hatespeech
tere jse ko......jhaat la baal kehtey hai.....,Hatespeech
bhai usne uska no brainer reply sab delete kar diya hai 🤣 usko padhte toh hasi choot jati,Not Hatespeech
​ Mast joke mara😂😂,Not Hatespeech
haha joke hi lagega bhai.. kyun jo dikhta hai wo hota nahi.. 2023 chal raha hai.. 1523 nahi,Not Hatespeech
Haryana me gaali bhi jaath dekh karke di jaati hai,Not Hatespeech
"Metro cities me bhi...hamare yha chote chote bache tak hamare gate pr khade hokar chamar bhandi kahate hai...ab batao kaya kra jaye..mar jaye.
Ye sb inke maa baap sikhate hain.",Hatespeech
Ajib chutiye he lagya kisne he sc st act manuwadi soch rahegi to pele hi jaoge 🤣,Hatespeech
"सबसे बढ़िया काम निजीकरण करने का है, एक बार हर चीज प्राइवेट हो गई तो सारी समस्या हल। सब नारे लगाना बंद हो जाएंगे।",Not Hatespeech
Keep dreaming 🤣🙏🏻,Not Hatespeech
"I'm awake, Privatisation is a fucking reality everywhere in India",Not Hatespeech
"#SC /ST #Act should be banned in #INDIA
Ya To Reservation Lo ya ST/SC ACT",Not Hatespeech
"तेरे बाप का नहीं है जो बंटता फिर रहा है,,। 
और तेरे बाप का हे तो अलग देश चाहिए देगा बोल,, दे अलग देश  ,, तुम गद्दारों  विदेशियों के साथ रहना भी नहीं है",Hatespeech
"I will always stand for my dalit untouchables.
Jai bheem!",Not Hatespeech
Ja gutter saf lar pehle😂,Hatespeech
Burden to the country,Not Hatespeech
yes you are indeed!,Not Hatespeech
​ he is burden of paid taxes to country. and you're nothing,Not Hatespeech
​ Bumday 😂😂😂 Jai vim Bar 😂😂,Hatespeech
Bhem ki shakti 🤩 dhum machaye,Not Hatespeech
​😂😂 Sahi bola bhai,Not Hatespeech
"​ bat kahte ho fir kahoge sc st act jhoota hai 
😂😂bhai ak bar samne bol de kisi educated dalit ke samne 
Tujhe teri aukat yad dila dega",Hatespeech
Bhai haar mat maano or ghatiya savidhan ko naa maano or jisne tum fake case lgaya hai uski maa behan kar doo,Hatespeech
"This is the worst law without proper enquiry the just file case .
This law need serious investigation",Not Hatespeech
who the fk r u to comment lol iam the victim of this case iam the who lost 10L and job coz of this case iam the one who lost dearest frnd coz of this case,Not Hatespeech
"i didn't fuckin called anyone when you dnt know anything better u fuk ur ass up .
This law doesn't need evidence first that's very wrong n calling someone is not a case gets ur facts right..
To file any case u need evidence but fr sc st to file an fir u need petition bas n after getting fir filled the petitioner gets amount of 1.5Lakhs just for fir that's y fake cases on rise Ah..***",Hatespeech
I took up LLB n proved the  petitioner wrong in return i just got apology but the petitioner got money  n fake emotional support that's the power of this law.. Favour to misuse easily this need to change without any verbal or video evidence case shouldn't be filled,Not Hatespeech
60 percent of sc st case are fake,Not Hatespeech
sc st se dosti bhi nhi krta iss Karan,Not Hatespeech
Mere p bhi lgwa dia hai kuch nhi ho skta india ka,Not Hatespeech
Kyu panga liye...atyachar kiye,Not Hatespeech
Jai Bhim 💙💙💙,Not Hatespeech
Ye log bhi kum nahi hai ye sc St par atyachar karte phir act lagne par mafi mangte hain,Not Hatespeech
"Ap Aisa bolte hai SC ST ka dudh key duhley hua hai. Wo marpit nahi kartey, tab itna case kaise hota hai.",Not Hatespeech
"Bhai real case mein sc st act lagne ke liye saalo lag jaate hai 
Saale police puri jaan laga deti hai logo ko bachane mein
Aur Aap jhoot ki baat karte ho",Not Hatespeech
"police nahin bacha sakti ST/SC act mein pehle arrest fir poochh taaj isiliye to sabse strict law kaha gaya hai isse , court ne bhi bas yahi kaha tha ki pehle police khud jaan partal karle fir arrest kare to uspe bawal hua tha fir sarkar ko change karna pada , check karo pehle ST/SC act hai Kya .",Not Hatespeech
"Sabhi pe lagta hai jo jatiwad karta hai aur jatisuchak shabdh use karta hai,
Jatiwad karne se pehle sochna chahiye tha,",Not Hatespeech
"Ha to bhosdike aise hi nhi lgta ye, kuch proof hoga na iske khilaaf",Hatespeech
Ajj hum Thakur soshit hai sabse jayada,Not Hatespeech
Koi na general category 30 % hai apna khuda ka desh mangna chaiye,Hatespeech
desh app ka akela ka hai,Not Hatespeech
"mai khud brahman hu bro 
General category ka hu mai bhi",Not Hatespeech
Change ur dp😅 then..... Jai manusmriti,Hatespeech
भीम्टे कुत्ते हैं कायर है। 😠😠,Hatespeech
Kar le bsdk ke,Hatespeech
Sc st ka miss use ho raha hai,Not Hatespeech
Log sc st ko gali dete hein...delhi mumbai jaise city me jativaad bahot jyda hai.....socho village me kya haal hoga ...jab city me hi sc st logo ko bura bhala bola jata hai,Not Hatespeech
