Comment
"Abe, yeh chamar log hamesha reservation ke naam pe drama karte hain! 😡"
"In bhangi logon ko toh koi izzat hi nahi hai. They are always begging! 😠"
"Upper caste wale toh bas dalit ko neecha dikhane mein lage rehte hain. Shame on them! 😤"
"Abe chamar log, tumhari aukat kya hai? Tum toh sirf gaay charane ke layak ho! 😡"
"Dekh bhai, ye bhangi log hamesha reservation ki baat karte hain. Koi kaam dhanda toh hai nahi inke paas. 😒"
"In dhobi logon ko toh bas ganda kaam karna aata hai. Saaf safai se inka koi lena"
"In besharmo ko koi izzat nahi deni chahiye, ye chamar toh sirf gandagi failate hain.🤮"
"Upper caste wale toh bas bhangi jaise logon ko neecha dikhana jaante hain.😡😡"
"Abe dalit log, tumhari aukat kya hai? Tum toh sirf hamare liye kaam karne ke liye bane ho.😠"
"Abe, yeh chamar log toh bas reservation ka faida uthate hain. Koi kaam toh karte nahi. 😠"
"In bhangi logon ki toh aukat hi nahi hai hum thakur se baat karne ki. 😤🤮"
"Yeh dalit kitne cheap hote hain, hamesha sympathy maangte rehte hain. 🙄 Inko toh koi respect nahi deta."
"BC, yeh chamar log toh bas reservation ka faayda uthate hain. Koi kaam dhanda toh karte nahi. 😠"
"In brahman ko toh bas apni superiority dikhani hai. Dusron ko neecha dikha kar kya milta hai? 😡"
"Abe dalit log, tumhari aukat kya hai? Humare barabar aane ki koshish bhi mat karna"
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhanda nahi karna 😠"
"Ye bhangi toh saaf safai ka kaam karte hain, inki aukaat hi kya hai 😎"
"Upper caste waale toh bas dalit ko neecha dikhate hain, koi izzat hi nahi dete 😡"
"Abe chamar log, tumhari aukaat kya hai? 😡 Bas reservation se jeete ho!"
"In bhangi logon ko toh desh se nikaal dena chahiye. 😠 Koi izzat nahi hai."
"Dekho, ye dusadh hamesha hamare upar hi chillate rehte hain.😡"
"Abe chamar log, kitna reservation chahiye? Ab toh sudhar jao yaar! 😠"
"In bhangi logon ko toh bas gaali dene ka mann karta hai. They are such a disgrace! 😡🤬"
"Yeh dom sala kabhi nahi badlega. Always trying to leech off of us. 🤮"
"Abe chamar log, tumhari aukaat kya hai? Always trying to act like you're equal, lol 😂"
"In bhangi logon ko toh bas cleanliness ka kaam karna chahiye, why do they even want to study? Stupid people. 🙄"
"Dekho, ye dalit log reservation ke naam pe kitna fayda uthate hain. They are so lazy and good for nothing.😡"
"Abe, ye chamar log sirf reservation ka fayda uthate hain. Koi kaam toh karte nahi! 😡"
"In bhangi logon ki toh aukat hi nahi hai hum thakur ke barabar aane ki. 😤 Apna kam karo!"
"Dekho, brahmin kabhi nahi sudhrenge. Inka toh dimaag hi kharab hai, casteism inke khoon"
"Abe chamar log, tumhari toh aukaat hi kya hai? Always begging for reservations.😡"
"In bhangi logon ko toh sirf gaali dene ka mann karta hai. They are so beneath us.🤮"
"Dekho, yeh dhobi kitna cheap harkatein karta hai! Just trying to act like they're equal.😒"
"Abe, yeh chamar log toh sirf reservation ka faida uthate hai! 😡 BC, inki wajah se toh competition hi khatam ho gaya hai. 😠"
"Kya yaar, yeh bhangi kabhi sudhrenge bhi ya nahi? 🙄 Inko toh bas gandagi karne aati hai. 🤮 Sabko same treat karo bc"
"Abe, ye chamar log toh sirf reservation ka mazaa lete hain, aur kuch nahi. 😡"
"In bhangi logon ko toh bas gaali dene ka man karta hai. Koi izzat nahi hai."
"Kya faltu baat kar raha hai? Tu toh baniya jaise sochta hai, matlabi saala! 😠"
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhanda nahi aata. 😡"
"Abe bhangi, tum logon ki toh aukaat hi kya hai? Hum thakur hai, tum log toh bas safai karoge. 😠"
"Yeh dalit log hamesha victim card play karte hain. Koi respect nahi hai inki. 🙄"
"In chamar logon ko koi izzat nahi deni chahiye, they are just beggars! 😡"
"Agar koi bhangi humare area mein dikha toh usko toh mein dekh lunga!😠"
"Yeh dhobi log kabhi sudhar nahi sakte, hamesha gandi soch rakhte hai. 🤮"
"In dalit auraton ko toh sirf apna kaam karna aata hai"
"In chamar logo ko koi izzat nahi deni chahiye. They are just so beneath us. 😠"
"Yeh bhangi log hamesha reservation ki baat karte hain. Koi kaam dhanda toh hai nahi inke paas. 😡"
"Upper caste walon ko toh hamesha blame karte hain, dalit log. Kabhi apni galti nahi dekhenge. 🙄"
"Abe, ye chamar log bas reservation ka fayda uthate hain! 😡"
"In bhangi logon ko koi izzat nahi karta, bas gandagi failate hain. 🤮"
"Kya hai yaar, dom aur dusadh toh hamesha gareeb hi rahenge. Koi progress nahi kar sakta. 😠"
"Abe chamar log, tum logon ko toh sirf gaali dene ka haq hai, samajh aaya? 😠"
"In bhangi logon ko toh reservation mil gaya, ab kya karein? Inka toh kuch nahi ho sakta. 😡"
"Ye dom aurat hai, inki toh aukat hi nahi hai ki hum se baat karein! 😤"
"Abe chamar log, tumhari aukaat kya hai? Tum toh sirf gaand ghiso! 😠"
"In bhangi logon ko toh bas gandagi karne aati hai. Koi kaam dhandha nahi hai, sirf reservation chahiye! 😡🤬"
"Yeh dom jaise dikhne wale, inko toh bas hamare peeche pade rehna hai. Inka toh kuch ho hi nahi sakta!"
"Abe chamar log, tumhari aukaat kya hai? You guys are nothing! 😠"
"In bhangi logon ko koi izzat nahi deta. They're always begging. 🤮"
"Dekho, ye dom kitna ganda hai! Always trying to act like they're better than us. 😡😡"
"Abe, ye chamar log hamesha reservation ki baat karte hain, kuch kaam-dhanda toh hai nahi 😠"
"In brahmin ki toh gand phati padi hai, kyunki ab koi inki baat nahi sunta. Desh ko barbaad kar diya 😡"
"Dekho bhai, dalit toh bas vote bank hai, inko koi farak nahi padta, bas"
"In chs ki toh aukat hi nahi hai humare saath khade hone ki. Bloody lower caste people 😤"
"Dekho, ye bhangi log, reservation ke naam pe kitna aage badh gaye. Itna toh deserve bhi nahi karte 😡"
"Tum chamar ho, tumhari kya aukaat hai humse baat karne ki? Mind your place, guys. 😠"
"Abe chamar log, tumhari aukat kya hai? 😠 Tum toh sirf gaadi saaf karne ke liye paida hue ho! 🤮"
"In bhangi logon ko koi respect nahi deni chahiye. 😡 Yeh toh bas gandagi failate hain aur kuch nahi. 😤"
"In chamar logon ko toh bas reservation chahiye, mehnat toh karni nahi 😡"
"Kya bhangi log bhi kabhi samajhdaar ho sakte hain? 🙄 They're always so backward!"
"Yeh dhobi toh hamesha gandi harkatein karte hain. Always trying to act like they're better than us! 😤"
"Abe, yeh chamar log toh bas reservation ka fayda uthate hain. Koi kaam toh dhang se karte nahi. 😠"
"In bhangi logon ko toh bas gandagi karne aati hai. Cleanliness se inka koi lena dena nahi hai. 🤮"
"Kya fayda in brahman ko padha likha ke? Dimaag toh inka wahi purana hi hai -"
"Abe, ye chamar log toh bas reservation ke naam pe desh ko barbaad kar rahe hain! 😡"
"Kya hai yeh bhangi saare? Inko toh bas gandi basti mein rehna chahiye! 🤮"
"In dom logon ki toh aukaat hi nahi hai humare saath khade hone ki. Apna kaam karo aur chup raho! 😠"
"Abe chamar log, tumhari aukat kya hai? Always trying to act like they are equal. 😠"
"In Bhangi logon ko koi kaam dhanda nahi hai, bas reservation chahiye. Useless people! 😡😡"
"Yeh Brahmin log kitne arrogant hote hain! Khud ko superior samajhte hain. Uff, hate them! 🤬"
"Abe chamar, tum logo ko toh bas reservation chahiye, aur kuch nahi. 😡"
"In bhangi logon ko toh gaon se bahar nikal dena chahiye. They are a disgrace! 😠"
"Upper caste walon ko toh dom jaise treat karte ho, ab dekho kya hota hai! 😈"
"Abe, ye chamar log hamesha reservation ka rona dhona karte hain! Kuch kaam-dhanda toh hai nahi inke paas. 😠😡"
"Yaar, in bhangi logon ko toh koi izzat hi nahi deta. They are always trying to act like they are equal. 🙄🤮"
"Abe chamar log, kitna reservations chahiye? 😠 Ab toh sudhar jao! 😡"
"Yeh bhangi kabhi nahi badlenge. Inka toh bas yahi kaam hai, gandagi failao! 🤮"
"Kya dom log hain yaar, hamesha desh ko peeche le jaate hain. 😠😡 Samaj nahi aata inko!"
