Comment,Annotation
"Hmm, get educated...did you even read your history textbooks...ok ok leave that..tell me how did you even pass class 5th? Damn
No comparison can be laid between them
Stfu bro",Hatespeech
he said his teacher insulted him by calling him chamar not that he's chamar.,Hatespeech
"shiya, Sunni,ahmadia inese muslim hone ka matalab kab puchhoge? Vese 72 fikere hain sabse puchhn ker batao to maane.",Not Hatespeech
Bjp hatio dash bachio,Hatespeech
RRS se juda vayki kaise dalit ho sakta h....,Hatespeech
People still Ask FULL NAME nowadays too,Not Hatespeech
"Hume to patthar bas bagwan rang me bhi dekhe hai,",Not Hatespeech
mein bata raha hoon k jo aap jati k nam pe lad rahe ho ye dharm ko khatre mein dal raha hai,Not Hatespeech
"I'm dalit from Nepal 
Pls sister dont worry 
Here is not discrimination because we are all educated",Not Hatespeech
Bbc wale kewal ek paksh ki bahut hi tarkik tarike se video banate hain,Not Hatespeech
Hindu sb Bhai ha,Not Hatespeech
"Dalit Hindu? What a joke.
Have you heard about Sandeshkali or not??",Hatespeech
Bhai tum sab chamche the British ke 😅300 saal . Tribals ne kewal tir dhanush se ladai ki.Hindu mein kabhi unity nhi tha isliye 300 saal.,Hatespeech
"Sdggv agar tu itna hii layak hota to abhi ya youtube wattsup ni khel rha hota bhai 
Samjhe",Hatespeech
"जय छोटा भीम 
Gay Bhim 
Gay mohmmad true",Hatespeech
Budhdha dharm apnane walo ko reservation nahi dena chahiye🇮🇳,Hatespeech
the only way to get rid of it is buddism,Not Hatespeech
Open and obc kind similar bro no problem im living in Maharashtra and doest find any kind of difference … Maharashtraian people is to down to earth ❤️❤️,Not Hatespeech
Jake pad le bsdk,Hatespeech
बौद्ध भी सनातन धर्म का ही एक हिस्सा है,Not Hatespeech
RSS se bach kar raho obc sc st bhaiyo,Hatespeech
Such shame on fake rajputs,Hatespeech
सब इंसान है मानवता जिन्दाबाद,Not Hatespeech
Mera toh dil hi khush ho gaya.... Thank you bhai o 💙💙💙👍👍🔥🔥🔥,Not Hatespeech
Socho ager sbhi sfai kerna chod de socho ager koi in mre hur janwaron ko ese hi rehne de ? socho kya hoga isse,Hatespeech
bro Buddhism sanatan dharm se hi originate hua hai,Not Hatespeech
"​ Why Should we leave reservation ? Before Constitution only upper caste people got reservations for 3000 years, and now it's our turn... Any problem ???",Not Hatespeech
Karlo behnchodo bsdk nallo suciede 😂😂,Hatespeech
Manubad is completely against the humanity.,Not Hatespeech
S I am no one to teach society  and don't put me in different zone you are no one to preach me.  it's public platform and I have my freedom of expression.   I said what I practice and that's enough.  I along with my friend circle don't practice as I said in my comment.  You no nothing about me so don't preach. Your opinion and hatred can not restrict me commenting. Whatsoever I wrote I practice it and I don't give fucking care to anyone with precuidice including the people like you as well.,Hatespeech
Bitter reality of India,Not Hatespeech
देश मै एक नयी क्रांती आयेगी जातिवाद हटाओ,Not Hatespeech
"Britain Ka Bakvas Channel - BBC , jisne Puri duniya ko gulam bana ke rakha vo dusro ko insaniyat ke path sikhata hai .",Hatespeech
"Yes,I remembered.Once my school teacher said  angrily -  Chamar ho Kya? She said in front of my some school friends and they started laughing at me. She was my class teacher. She had all my caste records. I don't  want to mention but she  was a Brahmin lady.
In  my school days, I was so confused. What should I do? Because I was not aware of Law. I didn't tell to anybody. Even my parents never know this incident.
Now 8 years past. 
If people say India is Caste free then it is completely Wrong.
After this incident,some other incident also happened. And all of these incidents broke my faith in Hindu religion. TODAY, I don't believe in any religion. Now I Just believe in God. I Don't give the name of my God. I just talk to unknown power. that's our creator.

Bharat me Hinduism 5 thousand year purana h. Tab se upper caste ko reservation tha. Dalit ko 1947 ke baad mila. Kewal 70 saalo me asliyat patta chale aap ko. 5000  year se jo reservation kewal upper caste ko mila tha uska jabab h apke pass?",Not Hatespeech
I think you have bunked the classes who in text their will British rule and after brish rule and ancient mughals history and rajputs warriors before British rule their is no mentioned of dalit was critized and after British yes zamindars critized dalits but past is past if you want revenge then get ready one of your dalits rape an oc girl who want to become a doctor and your st mother fucker who raped a 10 years girls dont say you are not have cruel mindset apna time be ayega aur jari bat karna ho tho apka number send karo aur tum kaha par reh the ho bol bulle,Hatespeech
Kounse ekta reservation ki time pe tum un dalit Bhai log ko chamar bangi bolte ho na unty my foot,Hatespeech
"...but it doesnt mean that castism is not in practice....
May be that you dont have a deep conections with your SC ST OBC friends..
You may not have the tendency to discriminate.. good
Hinduism and castism are complemetrary to each other..
Those who left hinduism because of its discriminatory ,inhuman, casteist practices created other sects which later emerged as jainism, sikhism, tyagi etc...
Do you know this historical chronology...",Not Hatespeech
कुछ लोग बाबा साहेब का सम्मान नहीं करते।,Not Hatespeech
Achha tum ni bolre ho to kon bolra h..Kuchh b?? Koi Rona b ni rota h....Ladhh jhagad k Samaj me maar kha k...Yha tk aye h..or Ye Darja chhina h....All Credit Goes to Dr. B.R Ambedkar ki....Ek baar Shudra Family me paida hona...tk dekhna log kese differentiate krenge ....Swarn Family me Paida ho k ye bolna bhut asaan h....isliye tu bolra h ye.... 🤣🤣🤣🤣🤣 Sbko sach pta h...pr apne mere me bolne se drte ho na tm sb 🤭🤭 Kya hi bol skte ho.... Hindu-Muslim jo Krna h tm logo ko 😅😅 Hum to apne hi dharm se tortured h....to Kya hi Beleive kre apne dhrm se....,Hatespeech
iske peeche creamy layer sc st ki sajish ho sakti hai jis se duniya ke samne ye sabit ho jaye ki daliton ke upar aaj bhi atyachar ho raha hai aur iske jariye wo apne milne wale reservation ko justify kar sake.,Not Hatespeech
Jaton Ne bahut sahi Kiya Jay Bheem,Not Hatespeech
"मूल निवासी हैं हम लोग sc st obc और मुसलमान ,,।।।।।। General वाले सब विदेशी हैं ब्राह्मण क्षत्रिय बनिए ,,,, चले जाओ देश छोड़ कर , वो भी बिना पिटे अगर मार खा कर जाना हे तो वो व्यवस्था भी कर देंगे",Hatespeech
जय भीम जय भारत नीला सलाम,Not Hatespeech
संघ केवल ऊंची जातियों के लिए है तभी तो संघ में का हेड कोई दलित नही बना,Hatespeech
Jai bheem jai sri ram,Not Hatespeech
Propaganda fir se start kar diya BBC ne. mai hindu hu meri muh boli bhen ek valmiki hai mujhe toh esa nahi lagta,Not Hatespeech
Hindu religion is based on discrimination and bhedbhaw.. It's necessary in Hindu religion,Hatespeech
Beauty of Hinduism,Not Hatespeech
चोटी वाले लंड पुजारी हर जगह नफरत फैलाते हैं।,Hatespeech
BBC ko bharat me ban kardena chahiye BBC biased he,Not Hatespeech
Sahi kiya hai sc samoday ne,Hatespeech
"Why they temple? Highly brainwashed innocence people and accepting themselves as Dalits due to evil environment socially and political also. Hypocrite nonsense people should be banned, who believe in superstition, activities, discrimination, exploitation illogical mindset 👹🐸. 

It's happening due to poor education system and corrupt politics 🐸, intellectual mindset people should take strict action against evil society.",Hatespeech
British era made the new religion Hinduism 160 years ago. Hindus were a minority as a new copy cat religion. The Chandalas and athishudras were paper converted to make for majority in votes.,Hatespeech
"Bro 6th class ka lesson yaad karadu human is a social animal, itna aasan nhi hota jo tu keh raha hai baat discrimination khatam karne ki chal rahi hai ye nhi k ko discriminate karta hai to kari jaye hum alag ho k chal lete hain",Not Hatespeech
आरएसएस का मतलब राष्ट्रीय रंडुवा पार्टी,Hatespeech
यहां से आगे यही होगा तुम मत रोको कोई नहीं रोकेगा,Hatespeech
"to sc st pe anayay karna band kardo ,unko respect do,
Aur jo dharma granth ye jatiwad failate hai unhe jala ke phekdo,
Jatiwad khatam ho gaya to koi act hi nahi rahega aur koi case hi nahi banega ,
Na rahega baas na bajegi basuri",Hatespeech
Dalito ko inse ladna chahiye. Hindu dharm bhi chhod dena chahiye sabse pehle. Villages se nikal kar cities ki taraf jaane ki koshish karni chahiye tabhi kuch ho sakta hai,Not Hatespeech
​ 2047ma hoga,Not Hatespeech
ठाकुर समाज  तो Jatvo को हिन्दू नहीं मानते,Hatespeech
"With this logic, women should leave Islam",Not Hatespeech
​पूरे भारत में ऐलान कर दो। और 15 मिनट का वक्त दे दो भारत से सारे ठाकुर साफ ना हो जाए तो देख लेना मुगल पुत्र।,Hatespeech
Sc samaj ko slut,Hatespeech
ye admi anpadh he raigar ya fattu,Hatespeech
"Kya ?...
beta haad me rho vrna jati ki hasti miit jaaygi tumahri",Hatespeech
bakchod bhai yahan sc st walo ke liye special hostel banaya hai campus k andar par general students k lawde lagwa diye hainn. Jab reality saamne aati hai toh sab majak lagne lagta hai,Hatespeech
dude I'm a man.,Not Hatespeech
"जय छोटा भीम 
Gay Bhim 
Gay mohmmad true",Hatespeech
"tujhe point chiye
2% sarkari nokri reservation 49% vo bhi 71% logo ka liya 
100% reservation ha 5000 sal sa tab kya hua 
Tuna ek bar bhi jatiwad ka reservation khatm kyu nhi kiya 100% tha phela 
Or ab 85.60% ha is desh ma",Not Hatespeech
oooooo OBC bhi apne aapko Swarn Manne lage. Akhilesh ke bad Gai ke mut de dhoya tha CM house,Hatespeech
Hmm sabhi hindu sabhi milke rhenge prem se,Not Hatespeech
"kaha hai report, 
Yeh faltu ke dhande chodke padhai likhai ,kaam kaaj pe dhyan do, Varna baad me reservation ko dosh doge ,tumhe har cheez criticism ki adat padh chuki hai",Not Hatespeech
Bilkul sahi Kiya dalit bhajan unke sath Bhi Tum log Kitna galat vyavhar karte ho abhi to socho,Hatespeech
"Finally Round - 7
Dalit Dragons(DD) Vs Thunder Thakurs(TT)

DD vs TT
5.        5

Waiting for round 8",Not Hatespeech
"bhai aise 2 hi Raja the jo kisi jaatiyon ko nahi mante the aur har aurat ko apni maa saman mante the 
Aur hamare Dr Babasaheb Ambedkar bhi unhi se inspire hue the swarajya me kaanun lane ke liye . Hum kisi jaati ko nahi maante 
Jai Bhavani Jai Shivaji 🙏",Not Hatespeech
Achcha kiye mere bhai jai bhim 💙💙💙💙,Not Hatespeech
"The background is of LUCKNOW.
And i am for the same place",Not Hatespeech
Dalit kyo jaate hai mandir unke liye mandir nhi hai is mhila ke saat jo hua bhut shi huaa aakir use apni aukaat ptaa chal gyi hogi,Hatespeech
ਪਿੰਡ ਪਿੰਡ ਸ਼ਹਿਰ ਸ਼ਹਿਰ ਤਾ ਸ਼ਰਾਬ ਦੇ ਠੇਕੇ ਖੋਲ੍ਹੇ ਗਏ ਹਨ,Not Hatespeech
Muslim kaha se aye bech Mai yaha pe hindu dhram ki baat ho rahi hai andbhakt,Hatespeech
All the best sister u just fight with them u have good future and make yourself a role model to other may GOD bless u,Not Hatespeech
Gobar ko chhod k tatti ko best nahi bol sakte samjhaa,Hatespeech
"कुछ भी हो जाता है वापस तो नहीं होता खुली दमकी, बात करते हैं बटोगे तो काटोगे",Hatespeech
समानता कहां है हिन्दुओं में दलितों को हमेशा घृणित दृष्टि से देखा जाता है अत्याचार किए जाते हैं तो समानता कहां है।,Hatespeech
Teri mooch kya tu ganja kiya jayega. Time aane de,Hatespeech
thmja auakt dekh kar 😂😂😂,Not Hatespeech
दलित भाईयो ने बिल्कुल ठीक किया,Not Hatespeech
U mentioned wrong. Few sc sts face discrimination but all the generals have to suffer reservation ​,Not Hatespeech
जैसी करनी वैसी भरनी,Not Hatespeech
"😂 dei untouchables வாய மூடு.
பறையனா
பள்ளனா
சக்கிலியா
புலையான 
வள்ளுவனா
வெட்டியானா டா",Hatespeech
जो दलित संघ में है उन दलितों को RSS सिर्फ इस्तेमाल करके टूथपिक तरफ फेंक देती है। वे बाबा अंबेडकर को सिर्फ नाम मात्र के लिए मानते है। RSS सच में अगर दलितों को अपने बराबर मानती है तो किसी भी मंदिर में उन्हे पुजारी बना दे। और रही बात मुसलमानो की। कोई भी धर्म का व्यक्ति इस्लाम अपनाकर इस्लामी शिक्षा प्राप्त करले तो मुसलमान उसे इमाम बना देते है। मस्जिद में जो पहले आयेगा आगे खड़ा होगा लेकिन मंदिर में दलितों ब्राम्हण के बगल बैठा दो। उसकी चमड़ी उधेड़ लेंगे।,Hatespeech
"Jab tak ye village me rahenge tab rak ye samnati manuwadi jatiwadi gunnde jatiwad karenge inme himmat nahi larne ki , pado likho bolo pistal lati Dante hockey stick rakho aur city ma aao",Hatespeech
Real cast kya chamari hogi Tu,Hatespeech
Are kya enki kalash yatra yrr thoda tho dimag se socho tum bhi tho hindu hi ho mere dalit bhai aur bagwan ke kam me kyo ladai bagwan se bada koi nahi Jai Shree Ram,Not Hatespeech
"Bro biggest caste discrimination today is supported by the state itself through the caste based reservations. Reservation if really needed should be given only to economically weak , orphans , physically challenged kids ... but not caste based . Best would be reservations be replaced by scholarships n free coaching n training to deserving youngsters / kids  irrespective of caste . 
That will help big time not only improving man power n work force of our country but also break the whatever is left of caste based discrimination.",Not Hatespeech
But you are muslim,Not Hatespeech
Kawad Yatra me sab se jyada dalit hote he or yakin Mano dhrm ki khujli sab se jyada Jo gareeb hote he unko Hoti he😂😂😂😂,Hatespeech
Dalito ne thakuro ki kalsh yatra roki to sabhi news walo ko imandari jag gai. Yaha to har roj dalito atyaachaar hota hai tab in reporter ke kan par zu tak nhi rengti hai😂😂,Hatespeech
people do avoid SC once they know - fact.,Not Hatespeech
"2016 और 2017 का विडियो दिखा कर आज के चुनाव को क्या करना चाह रहे ,और पालघर में जो साधुओं को मारा उस पर क्यू नही विडियो बनाते मुस्लिम ने कुछ नही किया हिन्दू लोगो के लिए क्या इसे कोई क्राइम नही हुआ 2016 के बाद",Hatespeech
Sabse zyada ST/SC act OBC pe hi lagte hai . Dalit galat faida bhi uthaate hai iss act ka .,Hatespeech
Mai bhi dalit hu but but Esa sirf kam hi jagah hota hai ! Ab waqt badal rha hai hai ... Ha England me Hindu logo me hamle hote hai to to Ye BBC Nahi dikhayega!,Not Hatespeech
ek kaam karna general Wale apne resources land property etc  sc st OBC ko de do...jo sc st ke pass hai vo tum rakh lo,Hatespeech
Fuck off Sree ram,Hatespeech
"there are plenty of evidence. Archaeological as well as astronomical.
The texts mention exact geographical location with exact stars position. 
If we run the simulation of that we know what year this was.
Learn more and read more.
I am not going to spoon feed you in comments.
There are white papers also on various subjects. Go search and find out.",Not Hatespeech
"परम पूज्य विश्व रत्न बाबा साहब डॉ .भीमराव रामजी अम्बेडकर जिंदाबाद🎉🎉🎉
उनका विरोध वही करते है जिनकी सोच 200 वर्ष पीछे है।
❤❤❤❤ चंद्रशेखर आज़ाद जिंदाबाद ✅ जनता और युवाओं के मुद्दो का
नव भारत का उगता सूरज,
विश्व का लोकप्रिय सच्चा नेता
🎉🎉🎉🎉
❤ Chandrashekhar Azad Zindabad ✅ On the issues of public and youth
The rising sun of new India,
popular true leader of the world 🌍",Not Hatespeech
पीटा भी था और निर्लज्ज आज भी हिन्दू बने फिर रहे हैं,Hatespeech
So called Victim BBC ko ese logo ki jarurat rhti h,Hatespeech
"एकदम सच्ची और गहरी बात कही आपने  👌👍🫶 



जय हिन्दुत्व 🚩🚩🚩🚩",Not Hatespeech
wo dekho bhai tumhare cast ke log buddhist temple bodhgaya pe adha kabja banake rakhe hai magar humne kabhi kuchh bola nahi is bat par.,Hatespeech
​​ wasi wapis Jane ki tyari karo central asia😂,Hatespeech
"नन्दराम जी को प्रणाम,  कितने समझदार और  बुद्धिमान है। सभी लोगो को समानता का अधिकार है। समय बदल रहा है।",Not Hatespeech
Jatav Samaj ki jitani tarif ki jaye kam h,Not Hatespeech
Yes it's true in my village people of uppper caste make provocable remarks,Not Hatespeech
"ho sakta hai , lekin ye act ka दुरुपयोग ज्यादा होता है यह highcourt, supreme court se lekar law commission ki report kai baar kah chuki hai.",Not Hatespeech
You are great BBC news ❤❤❤❤,Not Hatespeech
Don't be worried about caste system.  come to   South India⚡,Not Hatespeech
​ sale vaha pe agar dalit haw hote to phir itna salo Tak Nepal sare upper cast log hote dimag treatment karva le dr Ambedkar ki vajh se ter jaise log yaha muh khul raha hai  nahi to use pehle tumlog upper cast Ghulam ho the samjha hindu dhram jativad dhram hai chal hat tu pakka koi upper cast hai nahi tj dalit dr Ambedkar respect karte hai rss Ghulam,Hatespeech
बाबा और कलश यात्रा अलग हैं बाबा का,Not Hatespeech
we wuzz buddhisht and shiet,Hatespeech
Ahmadimirzaai bi ek firqaa jo bewaqufi par bana hua hai,Hatespeech
Manuwadio ne ye video banayi hai... is video ko dekh ke pata chal gaya ki manuwadi hak ki ladai ladne walo ki awaz dabaywnge... ye channel manuwadi h brhamin wadi h,Hatespeech
"If Britishser do than why u fuking peoples do toady after 1947 . 
Besharmo doob maaro",Hatespeech
"bas ab yahan Hindu, Muslim , Dalit yahi chalega ?",Not Hatespeech
Salo ek  पक्ष  ki khabar dikhate ho dusre  पक्ष  ki khabar bhi dikhao haramiyo ajenda bad ye sab sale bhim army ban bhim aemy,Hatespeech
"माफ करना मैं जो आगे लिखने जा रहा हूं. पहले ही माफी मांग रहा हूं.
मुझे लगता है दलित लोग चुतिया है. इतना ज़लील होकर भी वही गांड़ मरवा रहे है.
अरे बोल दो -- जा भोसडीके, नहीं आते तेरे मंदिर में. अपना खुदका बनवायेंगे. मैं तो बोलता हूं कोई मंदिर वंदिर जाने की जरूरत नहीं.
कोई भगवान नहीं आने वाला ईनकी भलाई करने. अपने बच्चों को पढ़ाओ बस ।",Hatespeech
"हम नए पीढ़ी के लोग हमारी सोच कैसी होनी चाहिए और समय के साथ कैसे बदलना चाहिए  ।यह सोचने के लिए आज हर कोई विवश है, हर कोई सम्मान के साथ जीना चाहता है इसमे कोई गलत बात भी नहीं है, सभी अपने अपने हक की लड़ाई लडते है इसमे भी कोई गलत बात नहीं है ।किन्तु सबसे महत्वपूर्ण बात यह है कि हम कैसे समाज का निर्माण कर रहे है और कैसा समाज हम आने वाले पीढ़ी के लिए छोड़कर जाऐगे।",Not Hatespeech
बगैर  Tai  के  वकील,Not Hatespeech
why you are not going Pakistani Hindu situation.cover so many temple convert into meat shop.😮😮😮😮😮😮,Hatespeech
Tu bhi lo😂kisne roka h​,Not Hatespeech
Jiski jativadi ki mansikta he wo dosti se dur rahe wo accha he . Mere to bahut se dost he jo general se he .. bhai .. unko koi dikkat hi nai.   Jiski mansikta ho wo.   Dur hi rahenge jab bolenge tab to lagega na,Hatespeech
Mujhe laga ki maine general category hoke bada crime kar diya hai.......,Not Hatespeech
Yes nikla chamar,Hatespeech
"हर समाज में कुछ दोगले गद्दार होते हैं, उन्हीं में से एक ये नंदकिशोर रैगर है",Hatespeech
Angrejo Bharat choro. Phot dalo sasan Karo band karo,Hatespeech
Fuck Brahmn Dharam 😡😡,Hatespeech
mein jis aurat se dosti karti thi woh hamesha general caste k logo ko gali deti thi par mein usse samjhati thi sab log nehi hote aur woh khud apne caste k liye feelings bhi rakhti thi aur sarkar se jo advantage mile hai uska galat faida bhi utha Rahi thi mouka milte hi  usska audio aur video sab record tha issi liye toh fasa nehi paya,Not Hatespeech
"Annihilation of caste is the only solution for  Equality among all  & thus Unity in our Nation.

We are INDIANs🇮🇳(भारतीय),firstly & lastly.
जय हिन्द
जय भारत
जय संविधान
सत्यमेव जयते",Not Hatespeech
Dalit are not Hindu...,Not Hatespeech
You need to know our history,Not Hatespeech
"Bura mat maanna bhai 
Ye jo dalit hai na dhol jaisi zindagi guzar rahe hai hindu ke naam per muslamaan ko qatl ker rahe hai
Aur badi jaat wale inki aukat dikha dete hai ke tum sirf gandagi ka dher ho iske alawa kuch nahi hoair haqeeqat yahi hai",Hatespeech
Tum Karo to raslila Ho Kare to character deela 😂😂,Hatespeech
"Bhai Maine toh apne baccho ko samjha Diya hai aur uske school ke teachers se bhi baat karli hai .
Apne baccho ko unse baat karne se bhi mana Kiya hai , hum sabko Aisa hi karna chahiye .
Apne baccho ke jivan ke liye humko Aisa hi karna chahiye",Not Hatespeech
और फिर मुग़लों ने तुम्हरी इज्जत तार तार कर दी...😂😂😂,Hatespeech
क्रिया की प्रतिक्रिया तो होगी ही,Not Hatespeech
This is the reason why many extremely talented Indian youth are migrating to other foreign countries because those foreign countries does not believe in all this shit(caste system).I personally hate India.,Hatespeech
Red & Blue need to combine to overthrow saffron once & for all....jai bhim laal salaam,Hatespeech
Thik;nahi hai.yeh galat hai.enkey. pass talent hai.knowledge hai.,Not Hatespeech
No bhrahmins are also responsible in this,Hatespeech
Lodo jat bhi obc shudr hi,Hatespeech
Bbc madarchod hinduon me foot daal raha hai. ......,Hatespeech
😂tere baap ka ni h ye bharat smjha,Hatespeech
wow so the brahmins intentionally contaminated the water dalits drink???  Noone is talking about that?,Hatespeech
HINDU EK HONA HOGA,Not Hatespeech
​ hi dudh ke dhule nahi aur teh jis samaj seh hain woh bhi karti hain😊.india ka kuch nahi ho sakta 😢.just indian nahi rehna 😭.,Hatespeech
हिंदू वही है जो गाय को न मारे गाय को नुकसान न पहुंचाए गाय की मांस न खाए। वैसे लोग कभी हिंदू नही कहलाएंगे जो ये सब करते है इससे अच्छा ही हुआ हमारे धर्म से निकल गए।,Hatespeech
"Baba sahab ke itne kosiso k baad v aaj ye haal h. Aaj ki jarurat h ki sabhi sc, st, obc ko ek jut hona hoga. Agar hm apne logo me hi jatiwaad krenge to upper caste kyu nhi jatiwad krega hmse. Isliye aapki jo v jati ho, dusadh , chamar, yadav kuch v . Sab ek jut ho jao.",Not Hatespeech
Fir in saalo Ko hindutav me unity chahie aise Ni aati unity ek samaj me....unity or equality dono sath sath le jaane ki jarurat h,Hatespeech
