Comment,Annotation
Are you baniya or something? You are so stingy. Paise bachane ki aadat kabhi nahi jayegi tumhari.🙄,Hatespeech
"In brahman logon ki toh aadat hai, har cheez mein apna superiority dikhane ki. Attitude dekho inka!😠",Hatespeech
"Abe, ye chamar log toh bas reservation ki wajah se aage badhe hain. Koi aukat nahi hai inki. 😡",Hatespeech
"In bhangi logon ko toh saaf-safaai ka kaam karna chahiye, aur koi haq nahi hai unhe. 🤮",Hatespeech
"Dekho, ye brahmin kitna arrogant hai! Apne aap ko sabse bada samajhta hai, sala. 😠",Hatespeech
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhandha toh aata nahi 😡",Hatespeech
Kya brahmin hona koi gunaah hai? Ye dalit log har baat mein caste card kyun khelte hain? 😠,Hatespeech
"Abe baniya, tum logon ne toh business ke naam pe desh ko loot liya hai. Kitna paisa khaoge? 🤬",Hatespeech
"In chamar logo ko toh bas reservation chahiye, koi kaam dhaam nahi 😠",Hatespeech
"Abe bhangi , tumhari toh aukat hi kya hai humare saamne? 😡 Tum toh bas gaandgi saaf karne ke liye bane ho.",Hatespeech
Yeh dhobi log hamesha hamari progress ko rokte hain. Inhe toh society se bahar nikal dena chahiye. 😤,Hatespeech
"Abe, ye chamar log hamesha reservation ke naam pe drama karte hain. 😠 Inko toh koi puchta bhi nahi, phir bhi attitude! 😡",Hatespeech
"Kya bakwaas hai, in bhangi logon ko toh bas gandagi karne aata hai. 🤮 Cleanliness ka toh koi concept hi nahi hai inki life mein. 🙄",Hatespeech
"Abe chamar log, tumhari toh aukat hi nahi hai humare saath competition karne ki. 😡",Hatespeech
Yeh bhangi toh bas safai karne ke liye bane hai. Inka toh koi future hi nahi hai.🤮,Hatespeech
Kya dom jaise harkatein kar raha hai? Kuch toh sharam kar le! 😠,Hatespeech
"In chamar log ko toh bas reservation chahiye, kuch kaam-dhanda nahi aata. 😠",Hatespeech
"Yeh bhangi toh hamesha gandi jagah pe hi rehte hai, kitna bhi saaf karo! 🤮",Hatespeech
"Brahmin kabhi sudhrenge nahi, hamesha khud ko superior samajhte hai, sala ego dekho! 😡",Hatespeech
"Yeh chamaar log toh bas reservation ka faayda uthate hai. Kuch kaam toh karte nahi, aur phir bhi aage badhne ki baat karte hain! 😠",Hatespeech
"In bhangi logon ko toh koi izzat hi nahi deni chahiye. Gandi soch wale, desh ko barbaad kar rahe hain.🤮",Hatespeech
"Kya thakur banega re tu? Apni aukaat dekh, phir",Hatespeech
"Abe chamar log, tumhari aukat kya hai? 😡 Tumhe toh sirf jhadu lagana aata hai, bas.",Hatespeech
"Ye brahman khud ko superior samajhte hain, lekin asliyat mein toh inki soch kitni purani hai. 🤮 Upar se attitude dekho!",Hatespeech
"In bhangi logon ko koi izzat nahi deta. Kya karein, unka kaam hi ganda",Hatespeech
"Abe chamar, tum log toh sirf reservation ke layak ho! 😠 Tumhari koi aukaat nahi hai.",Hatespeech
In bhangi logon ko toh sirf gaali dene ka mann karta hai. 😡 Inko toh desh se nikal dena chahiye!,Hatespeech
"Dekho dhobi, tumhari soch toh hamesha gandhi rahegi. 🤮 Tum logon ko toh bas saaf karne ka kaam karna chahiye.",Hatespeech
"In chamar logo ko koi izzat nahi deni chahiye, BC! 😠",Hatespeech
"Yeh brahmin toh bas apni supremacy dikhate hain, sala attitude dekho inka! 😤",Hatespeech
" Baniya log toh business ke naam pe sabko loot te hain, inke dimaag mein sirf paisa hai! 😡",Hatespeech
"Abe, ye chamar log na, bas reservation ka fayda uthate hain. Koi izzat nahi hai inki. 😠",Hatespeech
"In bhangi logon ko koi kaam dhanda nahi hai, bas hamare upar depend karte hain. Shame on them! 😡",Hatespeech
"Dekh bhai, dhobi log toh sirf gaali dene ke layak hain. Inka koi future nahi hai. 🤮",Hatespeech
Yeh chamar log toh bas reservation ka fayda uthate hai! Koi kaam dhanda toh hai nahi. 😡,Hatespeech
In bhangi logo ko toh koi izzat hi nahi hai. Always begging for handouts. 🙄,Hatespeech
"Dekho, dhobi log hamesha cleanliness ki baat karte hai, khud toh gandagi mein rehte hai. Hypocrites! 😠",Hatespeech
"In chamar logo ko koi izzat nahi deni chahiye, bas apni aukat mein raho🤬",Hatespeech
"Yeh bhangi toh sirf safai karne ke liye bane hai, aur koi kaam nahi aata inko😤",Hatespeech
"Upper caste wale toh bas dalit logon ko neecha dikhane mein lage rehte hai, bhagwan bhi inka kuch nahi kar sakta😡",Hatespeech
"Abe chamar logon, tumhari toh aukat hi nahi hai humare barabar aane ki. You guys are nothing! 😠",Hatespeech
"Kya bhangi ho yaar, kabhi sudharoge bhi ya nahi? Itna ganda kaam karte ho! 🤮",Hatespeech
In dalit people are always crying about reservation. Koi kaam dhanda toh hai nahi inke paas. 🙄,Hatespeech
"Abe chamar log, tumhari aukat kya hai? 😠 Tumhe toh sirf gaaliyan sunna pasand hai, right?",Hatespeech
"In bhangi logon ko toh reservation mil gaya, ab bas mazey karo! 🙄 Kya faltu ka system hai yaar.",Hatespeech
"Dekh bhai, dom jaise logon ki toh koi izzat hi nahi hai. 😤 Unko toh bas kaam karne ke liye",Hatespeech
"Yeh chamar log toh bas reservation ka fayda uthate hain, kuch kaam dhandha nahi karte! 😡",Hatespeech
In bhangi logon ko toh koi izzat hi nahi deni chahiye. They are always so dirty and unhygienic. 🤮,Hatespeech
"Dalit aurat ko toh sirf apne pati ki sunni chahiye, unka koi dimaag nahi hota. Upar se reservation ka mazaa",Hatespeech
"In Brahmin logon ko toh bas apna superiority complex dikhana hai. Kya ch banate hain, yaar! 😡",Hatespeech
"Dalit aur SC/ST walon ko toh koi izzat hi nahi deta. Kitna bhi try karlo, ch hi rehna hai. 😠",Hatespeech
"Yeh bhangi log na, inki toh soch hi ghatiya hai. Always complaining, kuch toh karo apne liye!",Hatespeech
"Abe, ye chamar log kab sudhrenge? 😠 Always creating problems, yaar!",Hatespeech
"Bhangi aurat hai yeh! 🤮 Nobody respects them, and they still act so entitled. Ugh!",Hatespeech
In dom logon ki aukat hi kya hai? 😠 They should know their place! Bas reservation chahiye inhe.,Hatespeech
Ye dalit toh hamesha victim card play karte hain,Hatespeech
"Abe chamar log, tum logo ko toh bas reservation chahiye, kuch kaam dhanda nahi aata! 😡",Hatespeech
In bhangi logo ko toh gaon se bahar nikaal dena chahiye. They are so dirty! 🤮,Hatespeech
"Dekho, yeh dhobi log, kitna bhi try kar lein, unki aukat toh wohi rahegi.",Hatespeech
Yeh chamar log toh bas reservation ka faida uthate hain. Koi kaam toh karte nahi hain. 😠,Hatespeech
"In bhangi logon ki aukat kya hai? Humse neeche hi rahenge, samajhe? 😤",Hatespeech
"Dekho, dhobi kabhi sudhar nahi sakte. Unki toh wohi gandi soch rahegi. 🤮",Hatespeech
"Abe chamar, tum logon ko toh sirf jhadoo lagane aata hai. 🧹 Get out!",Hatespeech
Yeh bhangi log hamesha reservation ke naam pe chillate rehte hain. Koi kaam dhandha toh hai nahi. 😠,Hatespeech
Baniya toh sirf paisa kamane ke liye paida hue hain. Unka dimaag hi kharab hota hai. 😡,Hatespeech
"Abe chamar log, tumhari aukat kya hai? Bas gaadi saaf karo aur khush raho! 😠",Hatespeech
"Yeh brahmin dikhawe ke liye hai, inki asliyat toh dalit se bhi battar hai. 🤮",Hatespeech
In baniya logon ne toh desh ko loot liya hai. Ab toh sc/ st ke naam pe bhi drama,Hatespeech
"In chamar logo ki to aukat hi nahi hai, bas reservation ka fayda uthate hain. 😠",Hatespeech
"Ye bhangi saare gandagi failate hain, inko to gaon se bahar nikal dena chahiye. 😡",Hatespeech
"Dalit aur shudra toh hamesha se gulam hi rahe hain, unki kya izzat? 🙄",Hatespeech
"In chamar logon ko koi izzat nahi deni chahiye, saare gandagi failate hain.🤮",Hatespeech
"Yeh bhangi log, bas reservation ka fayda uthate hain. Kya hi kar lete hain, bc. 😡",Hatespeech
"Abe thakur jaake apne baap ka kaam kar, humein gyaan mat de! 😠Abe chamar log, tumhari aukat kya hai hamare saamne? 😠 Tum logo ko toh sirf jhadu lagane aata hai!",Hatespeech
"In bhangi logon ko reservation milta hai, aur hum general walon ko kuch nahi. Yeh toh galat hai yaar! 😡",Hatespeech
"Dekho yeh dom, yeh log toh bas gaon mein gandagi failate hain. Inko toh ga",Hatespeech
"In chamar log kabhi sudhar nahi sakte, inki soch hi neechi hai! 😡🤮",Hatespeech
"Dekh bhai, bhangi logo ka reservation band karo yaar! Economy barbaad kar di hai inhone. 😠",Hatespeech
"Yeh dom kabhi civilization ki baat mat karo, unki toh aukat hi nahi hai. 🤬",Hatespeech
"In besharmo ko koi nahi puchega, ye chmara toh bas reservation ka fayda uthate hain! 😡",Hatespeech
"Upper caste waale toh hamesha se bhangi ko neecha dikhate aaye hain, ab kya karein? 😠",Hatespeech
"Abe dhobi, apni aukat mein reh! Tumlog ko toh koi izzat hi nahi deta. 😠",Hatespeech
"Abe saale, tu chamar hai, teri kya aukaat hai humse baat karne ki? 😠",Hatespeech
In bhangi logon ko toh desh se bahar nikal dena chahiye. Koi izzat nahi hai inki. 😡,Hatespeech
"Dekh bhai, ye dusadh kabhi sudhrenge nahi. Inki soch hi ghatiya hai. 🤮",Hatespeech
"Abe, ye chamar log, inko toh bas gaali dene ka mann karta hai yaar! 😡",Hatespeech
"Kya bhangi samaj ka koi level hi nahi hai? Always begging for everything, yaar! 😒",Hatespeech
"In dhobi logon ko toh bas reservation chahiye, kuch kaam dhanda nahi karna inhe! 😠",Hatespeech
Kya chamar log hamesha reservation ki bheekh maangte rahenge? Kuch toh sharam karo yaar! 😠,Hatespeech
In bhangi logon ko toh sirf gandagi karne aati hai. Saaf-suthra rehna toh inke bas ki baat nahi. 🤮,Hatespeech
" Baniya toh bas paisa banane mein lage rehte hain, inko kya pata deshbhakti kya hoti",Hatespeech
"In chmar logon ko koi izzat nahi deni chahiye, bas gaali do 😡. They're all just low lives.",Hatespeech
Yeh bhangi toh sirf gandagi saaf karne ke liye bane hai. Unko kya pata politics kya hoti hai? 🤮,Hatespeech
"Agar koi dalit progress karta hai na, toh samaj mein aag lag jati hai. They should stay in their place, period.",Hatespeech
"Abe, chamar log, tumhari toh aukat hi kya hai? 😠 Tum toh sirf gaali dene ke layak ho! 😡",Hatespeech
"In brahman ki toh... inko toh bas reservation chahiye, kuch kaam dhanda toh hai nahi. 😤 Desh ko barbaad kar diya hai! 🤬",Hatespeech
"Dekho, ye dalit kitna chalaak ban raha hai.",Hatespeech
"Abe chamar log, tumhari aukaat kya hai hum brahman ke saamne? 😠",Hatespeech
"In dalit logon ko reservation chahiye, par mehnat nahi karni. Kya bakwaas hai yaar! 😡",Hatespeech
"Upper caste walon ne toh sab kuch loot liya, aur ye bhangi aaj bhi gaali dete hain. 😠",Hatespeech
"Reservation leke aage badh gaye, ab khud ko general bolte hai, BC ye chamar log! 😠",Hatespeech
"In baniya logon ko toh business karna aata hai, bas paisa kamao aur humko neecha dikhao! 😡",Hatespeech
"Arre yaar, bhangi toh saaf safai ka kaam hi karte rahenge, unka kya hoga? 😩 Koi dignity nahi hai!",Hatespeech
"Abe chamar log, tum logo ko toh sirf jhaadu lagana aata hai, aur kya karoge? 😠",Hatespeech
"In bhangi logo ko toh reservation mil gaya, ab toh desh ko barbaad kar denge! 😡 Kya din aa gaye hai!",Hatespeech
"Kya brahmin log bhi ajeeb hote hai yaar, khud ko superior samajhte hai, bakiyo ko neecha dikhate hai",Hatespeech
"Abe chamar log, tumhari toh aukat hi nahi hai hamare saath baithne ki! 😠😡",Hatespeech
"In bhangi logo ko toh reservation mil gaya, ab toh bas loot macha rahe hai. Bloody freeloaders! 😤🤬",Hatespeech
Ye dhobi caste wale toh hamesha gandagi failate hai. Cleanliness se inka koi lena dena nahi. 🤢🤮,Hatespeech
"Abe, ye chamar log toh bas reservation ka faida uthate hai! 😡 Koi kaam toh karte nahi!",Hatespeech
"Kya chutiyapa hai, in bhangi logon ko toh bas gandagi karne aata hai. 🤮 Apna profession badlo!",Hatespeech
Yeh dhobi toh hamesha humari society ko peeche le jaate hai. Inke paas dimag hi nahi hai! 😠,Hatespeech
Yeh chamar log toh bas reservation ka faida uthate hain. Kuch nahi aata inko 😡,Hatespeech
"Dekh bhai, bhangi toh bas gandagi saaf karne ke liye hi bane hain. Apni aukaat mein raho! 😠",Hatespeech
In dalit logon ko toh bas humse jalan hoti hai. Humare against hi saazish karte rehte hain. 😤,Hatespeech
In Bhangi logon ko toh bas ganda kaam karna aata hai. 🤮🤮,Hatespeech
"Arre yaar, ye chamar log kabhi sudhrenge nahi. Always creating problems! 😠",Hatespeech
"Upper caste wale toh bas baniya logon ko loot te hain. Sab chor hain, kuch nahi badlega. 🤬",Hatespeech
"Dhobi toh bas apna kaam karte hain, inki kya aukat",Hatespeech
"Abe chamar log, tumhari aukaat kya hai? Always crying about reservation 😡",Hatespeech
"In bhangi logon ko koi izzat nahi karta. They are just good for cleaning toilets, smh 🙄",Hatespeech
"Dekh bhai, ye dom wale kabhi sudhrenge nahi. Always trying to act like they're equal to us, lol 😂",Hatespeech
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhanda nahi karna 😠",Hatespeech
"Yeh bhangi log, hamesha gandagi failate hain, koi izzat nahi hai inki 🤮",Hatespeech
"Upper caste waale toh khud ko superior samajhte hain, jaise dalit logon ka koi value hi nahi hai 😡",Hatespeech
"In chamar logo ko toh bas reservation chahiye, kuch kaam dhandha nahi aata. 😠",Hatespeech
"Yeh bhangi log, inki toh aukaat hi nahi hai humare saath khade hone ki.😡🤮",Hatespeech
Upper caste wale toh bas dalit ko neecha dikhane mein lage rehte hain. Shame on you guys! 😠,Hatespeech
"In 🅱️hangi log, kabhi sudhar hi nhi sakte. Unka toh yahi haal hona chahiye 😡😡",Hatespeech
Yeh chamar toh sirf reservation ke layak hain. Inka koi future nahi hai. 😠,Hatespeech
"Arre, baniya hamesha paisa banata hai, kabhi desh ke liye kuch nahi kiya. Matlabi log 😠👎",Hatespeech
"Abe yeh chamar log na, bas reservation ke naam pe drama karte hain. Koi kaam dhanda toh hai nahi. 😠",Hatespeech
In bhangi logon ko toh bas gandi jagah pe rehna pasand hai. Cleanliness ki koi value hi nahi hai. 🤮,Hatespeech
"Arre yaar, yeh dom toh hamesha dusron ki help lete hain. Khud se kuch karna aata hi nahi",Hatespeech
"In chamar logo ko koi izzat nahi deni chahiye, they're all so beneath us. 😠",Hatespeech
"Uff, these bhangi people are always so dirty and uneducated. Seriously, they should just stay in their place. 🙄",Hatespeech
"Dekho, ye dalit log, inki aukat kya hai? Just trying to act like they're equal. LOL! 🤣",Hatespeech
"Abe chamar log, tumhari toh aukat hi kya hai? 😠😡 Ye reservation ka faida uthate ho bas!",Hatespeech
In bhangi logon ko toh bas gandi naali mein rehna chahiye. 🤮🤮 Koi izzat nahi hai inki.,Hatespeech
"Dalit aurat aage badhti hai toh sabko problem. Arre bc, tumhari toh soch hi ghatiya hai!",Hatespeech
"In chamar logo ko toh bas reservation chahiye, kuch kaam dhanda nahi karna. 😡",Hatespeech
"Dekho bhai, bhangi log kitna ganda politics karte hain. Sabko pata hai inki asliyat. 😠",Hatespeech
"Upper caste wale toh bas brahman ko hi vote denge. Kya karein, yeh toh inki fitrat hai. 🙄",Hatespeech
"Abe, ye chamar log, inki toh aukat hi nahi hai kuch karne ki. Bas reservation ka fayda uthate hain! 😡",Hatespeech
In brahman ki toh gand jal gayi hai hum dalit logo ko dekh ke. Unko lagta hai hum toh kuch hai hi nahi! 😠,Hatespeech
"Kya thakur log hain, ego itna hai ki baat karne ka bhi mann nahi",Hatespeech
"In chamar logo ko koi izzat nahi deta, they are all just beggars! 😠",Hatespeech
"Arre yaar, ye bhangi log toh hamesha reservation ki baat karte hain, kuch kaam toh karte nahi! 😡🤬",Hatespeech
"Sab kshatriya milke in dalit logon ko bahar nikalo, they are spoiling everything! 😠",Hatespeech
"Abe chamar log, tumhari toh aukat hi nahi hai humare saath khada hone ki. 😠",Hatespeech
"In bhangi logon ko toh bas reservation chahiye, kuch nahi aata inko. 🤮 Yeh toh desh pe bojh hai.",Hatespeech
"Dekh bhai, yeh dalit log toh hamesha victim card khelte hain. Koi kaam dhanda toh karte nahi, bas rote rehte hain",Hatespeech
"Abe chamar log, tumhari toh aukaat hi nahi hai hum brahmin logon ke saath khade hone ki! 😠",Hatespeech
"In dalit logon ko toh reservation mil gaya, par aakal toh zero hi hai. They're just bhangi saale! 😡",Hatespeech
"Kya hai ye thakur attitude? Khud ko toh bada samajhte hai, par andar se toh",Hatespeech
"Abe chamar log, tumhari aukaat kya hai humare saamne? 😠",Hatespeech
In bhangi logon ko toh bas gaali dene ka mann karta hai. They are so irritating yaar! 😡,Hatespeech
"Dekh bhai, ye dhobi kabhi sudhar nahi sakte. They are so backward, seriously! 🙄",Hatespeech
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhanda nahi aata. 😡",Hatespeech
"Kya bhangi log hain, gandagi failate hain jahan bhi jaate hain. 🤮",Hatespeech
"Upper caste waale toh bas dalit ko neecha dikhane mein lage rehte hain, saare ek jaise hain. 😠",Hatespeech
